Filter_obj_type_1,Filter_obj_type_2,Filter_obj_type_3,NoFilter_obj_type_1,NoFilter_obj_type_2,NoFilter_obj_type_3,E_laser,time
1625.7736436838961,28.071139641074467,2.0859242456954207e-05,1008.4440122584207,3.5896290020465074,4.8866005486340355e-05,4.8,10.392665380798281
9476.411554477727,78.44031893456528,1.4305061265534097e-05,6125.950438189277,41.2008027284009,3.557180040136242e-05,4.9,10.414923659525812
4590.01716148066,55.506320441882565,9.789370285195347e-06,7665.4905220687215,63.20310734898254,2.7810603220447747e-05,5.0,10.90929182122151
5136.978548741318,57.248147721501766,1.0812629251359224e-05,7204.339684100814,58.552681236584306,2.930064683223829e-05,5.0,11.77072330135852
8251.102696646652,72.2679591367218,1.3843309477869031e-05,5136.773089617313,35.42892280713558,3.598993447074669e-05,5.1,11.231261920370162
3203.9122914512786,44.34149604621149,7.430964888686843e-06,5855.845687326594,60.123484165788724,2.7689755451350417e-05,5.2,11.329835989202062
5630.022172575214,59.9262713284125,1.0406651381046124e-05,6525.4686979530425,55.01355090122735,2.8711905684188253e-05,5.3,11.38761658805112
5882.084033468213,62.435942450650515,1.1387294576163722e-05,6929.107243372361,54.417778281228735,2.835695518968613e-05,5.4,11.448413368066152
1325.550205964048,27.526354373714696,2.5922333007352873e-06,9728.604900231172,89.6160287286818,1.758875980056456e-05,5.5,11.369784407690167
2830.6132537183103,42.00442113072671,4.350354211548941e-06,9048.959308858064,82.36586669072041,1.9348804558200094e-05,5.6,11.134887295216322
901.8104887739827,22.49810163660419,2.039662033607069e-06,12154.132594453715,101.21119405704535,1.3712655621779634e-05,5.7,11.113804687062899
249.36379525534375,13.016506728200454,1.1166871158833297e-07,10066.027309606512,95.58238517320972,1.5030995488512266e-05,5.8,10.474159460328519
145.9357080571293,10.202249864355935,5.655046590446964e-09,11417.696682117386,101.70164382149737,1.3114646049588252e-05,5.9,10.44034124587973
796.8285656511496,21.53215340517164,6.013609885212815e-07,15785.791258265606,119.34990310796398,8.183834479343162e-06,6.0,10.460757075995208
482.01704638411087,17.598737160039093,1.4525499724975943e-08,11049.867718572923,101.32808467866761,1.2782765959137827e-05,6.1,10.446070326926808
557.0118256140508,17.656823469918436,8.837632682831019e-08,16967.912703540045,127.02990357227752,5.9353640860876056e-06,6.2,11.752713229320943
1362.4241093714566,26.603670755845798,1.9324432931610347e-06,9603.0601031298,88.50350363764957,1.5638174669888676e-05,6.3,10.442165002351006
1237.4236880093297,26.163001722161766,7.174613600457515e-07,14961.771114665347,115.75942221888428,8.571115473084473e-06,6.4,10.464664392297466
612.8043045503232,17.933695072047385,1.0248288985246083e-06,11001.393739867797,93.07337342325133,1.4030667334618752e-05,6.5,10.461563200689852
998.8700163427908,23.65431544601742,9.990016981908028e-08,17296.73147168002,128.42347870880792,5.237375669024127e-06,6.6,11.10963188863049
